Gen 1:1  Na_początku stworzył Bóg ** niebo i_** ziemię.
Deu 4:5  Patrzcie! Nauczyłem was przepisów i_praw, jak rozkazał_mi JHWH, Bóg_mój aby_czynić tak pośród ziemi, (do)_której wy wchodzicie tam, aby_wziąć_w_posiadanie_ją.
Deu 4:6  I_strzeżcie wypełniajcież, bo one mądrością_waszą i_roztropnością_waszą w_oczach ludów, które usłyszawszy o wszystkich_przepisach tych, i_powiedzą: tylko ludem_mądrym i_roztropnym (jest)_naród wielki ten.
Deu 4:7  Bo któryż_naród wielki, który_ma bogów bliskich mu, jak_JHWH Bóg_nasz we_wszystkim_(co)_wołamy do_Niego.
Deu 4:8  I_któryż naród wielki, który_ma przepisy i_prawa (tak)_sprawiedliwe jak_całe prawo to, które Ja daję przed_wami dzisiaj.
Deu 4:9  Tylko strzeż siebie, i_strzeż duszy_swojej bardzo abyś_nie_zapomniał **_rzeczy, które_widziały oczy_twoje, aby_nie_odstąpiły od_serca_twego (po)_wszystkie dni życia_twojego, ale_daj_poznać_je *_synom_twoim i_*_synom synów_twoich.
Deu 4:10  (W)_dniu, którym stanąłeś przed_obliczem JHWH, Boga_twojego na_Horebie kiedy_mówiąc JHWH do_mnie: Zgromadź_Mi **_lud i_dam_usłyszeć_im **_słowa_Moje, które nauczyli_się, aby_bać_się Mnie (przez)_wszystkie_dni, które oni żyją na_ziemi, i_(aby_tego)_**_synów_swoich nauczali.
Deu 4:11  I_zbliżyliście_się, i_stanęliście pod górą, a_góra płonęła *_ogniem aż_do_[serca]_samego nieba, (w)_ciemnych chmurach, i_gęstej_ciemności.
Deu 4:12  I_przemówił JHWH do_was spośród ognia: Głos słów [wy] słyszycie, lecz_postaci nie_[wy] widzicie, za_wyjątkiem głosu.
Deu 4:13  I_oznajmił wam**_przymierze_swoje, które rozkazał wam wypełniać dziesięć słów, i_wypisał_je na_dwóch tablicach kamiennych.
Deu 4:14  A_mnie rozkazał JHWH w_czasie owym uczyć was przepisów, i_praw abyście_pełnili je w_ziemi, (do)_której wy przechodzicie tam, aby_wziąć_w_posiadanie_ją.
Deu 4:15  I_strzeżcie bardzo *_dusz_waszych, gdyż nie widzieliście żadnej_postaci w_dniu (gdy)_mówił JHWH do_was na_Horebie spośród ognia.
Deu 4:16  Abyście_nie_sprzeniewierzyli_się i_(nie)_uczynili dla_siebie rzeźby, podobizny jakiejś_figury (o)_kształcie mężczyzny czy kobiety.
Deu 4:17  (Czy_o)_kształcie jakiegoś_zwierzęcia, które na_ziemi, (czy_o)_kształcie jakiegoś_ptaka skrzydlatego, który lata pod_niebem.
Deu 4:18  (Czy_o)_kształcie czegokolwiek_(co)_pełza po_ziemi, (czy_o)_kształcie jakiejś_ryby, która_(jest)_w_wodzie pod*_ziemią.
Deu 4:19  I_abyś_(gdy)_podniesiesz oczy_swoje ku_niebu i_zobaczysz **_słońce, i_**_księżyc i_**_gwiazdy, cały zastęp niebieski, i_(nie)_daj_się_zwieść, i_(nie)_oddawaj_pokłonu im, i_(nie)_służ_im, bo przydzielił JHWH Bóg_wasz je*_wszystkim ludom pod całym_niebem.
Deu 4:20  Lecz_was wziął JHWH i_wyprowadził was z_pieca (do_topienia)_żelaza, z_Egiptu, abyście_byli dla_niego *_ludem, własnością, jak_(jest_to_do)_dziś_[dnia][tego]
Deu 4:21  I_był rozgniewany_na_mnie z_powodu_słów_waszych, i_przysiągł, (że)_nie przekroczę **_Jordanu, i_nie_wejdę do_ziemi [dobrej]_pięknej, którą JHWH, Bóg_twój daje tobie (na)_własność.
Deu 4:22  Bo ja umrę w_ziemi tej, ja_nie przekroczę **_Jordanu. A_wy przekroczycie i_weźmiecie_w_posiadanie **_ziemię [dobra]_piękną tę.
Deu 4:23  Strzeżcie się, abyście_nie_zapomnieli **_przymierza JHWH, Boga_waszego, które zawarł z_wami i_(nie)_czynili sobie rzeźby podobizny żadnej, jak nakazał_ci JHWH, Bóg_twój.
Deu 4:24  Gdyż JHWH, Bóg_twój, (jest)_ogniem pożerającym.[On]_jest Bogiem zazdrosnym.
Deu 4:25  Gdy_zrodzisz synów i_wnuki_[synów synów] i_staniecie_się_starymi w_kraju, lecz_sprzeniewierzycie_się i_uczynicie rzeźbę podobiznę czegokolwiek, to_uczynicie zło w_oczach JHWH_Boga_twojego, drażniąc_go.
Deu 4:26  Biorę_za_świadków przeciw_wam dziś **_niebo i_**_ziemię, że_[ginąc] wyginiecie szybko z_** ziemi, (do)_której wy przeprawicie_się **_(przez)_i_Jordan, tam, aby_wziąć_w_posiadanie_ją, nie_będziecie_przedłużać dni na_niej, gdyż zupełnie_[ginąc] wyginiecie.
Deu 4:27  I_rozproszy JHWH was między_ludami, a_pozostaniecie (jako)_ludzi niewielka_liczba wśród_narodów, (do)_których zaprowadzi JHWH was, tam.
Deu 4:28  I_będziecie_służyli_tam bogom (będących)_dziełem rąk ludzkich, (z)_drewna i_kamienia, którzy nie_widzą i_nie słyszą, i_nie jedzą i_nie wąchają
Deu 4:29  I_będziecie_szukać stamtąd **_JHWH Boga_swego, i_znajdziesz, jeżeli szukałeś_go *_całym_sercem_swoim i_*_całą_duszą_swoją.
Deu 4:30  W_niewoli twej *_spotkają_cię wszystkie rzeczy te przy_końcu dni, i_nawrócisz_się do_JHWH Boga_swego, i_będziesz_słuchać głosu_jego.
Deu 4:31  Gdyż Bogiem miłosiernym (jest)_JHWH, Bóg_twój, nie opuści_cię i_nie zniszczy_cię, i_nie zapomni **_(o)_przymierzu (z)_ojcami_twoimi, które poprzysiągł im.
Deu 4:32  Bo zapytaj_się_** *_czasów dawnych, które_były przed_tobą *_od_dnia, kiedy stworzył Bóg człowieka na_ziemi, i_od_krańca nieba i_aż_do_krańca nieba, czy_stało_się *_coś wielkiego takiego, albo czy_słyszano o_(czymś)_podobnym?
Deu 4:33  Czy_słyszał jakiś_lud głos Boga przemawiającego ze_środka_ognia, tak_jak_słyszałeś ty pozostałeś_żywy?
Deu 4:34  Albo czy_spróbował jakiś_bóg przyjść i_wziąć sobie jakiś_naród spośród (innego)_narodu przez_doświadczenia, przez_znaki i_przez_cuda, i_przez_wojnę, i_**_ręką silną i_*_ramieniem wyciągniętym i_przez_czyny_przerażająco wielkie, jak_wszystko_co_uczynił dla_was JHWH, Bóg_wasz w_Egipcie, na_oczach_twoich.
Deu 4:35  Tobie ukazano, abyś_poznał, że JHWH [on]_jest Bogiem, nie_ma [więcej]_innego poza_nim.
Deu 4:36  Z_nieba dał_słyszeć_ci głos_swój, aby_utrzymać_w_karności, a_na_ziemi ukazał_ci **_ogień_swój wielki, i_słowa_jego słyszałeś spośród ognia.
Deu 4:37  A_dlatego, że umiłował **_ojców_twoich i_wybrał *_potomstwo_ich po_nich i_wyprowadził_cię [w_obliczu_swoim]_osobiście *_mocą_swoją wielką z_Egiptu.
Deu 4:38  Aby_wypędzić narody większe i_silniejsze od_ciebie przed_tobą, aby_zaprowadzić_ciebie dać_ci **_ziemię_ich (na)_własność jak_(to_jest_do)_dziś_[dnia][tego].
Deu 4:39  I_dowiedz_się dzisiaj i_weź do_serca_swojego, że JHWH [on]_jest Bogiem w_niebie w_górze, i_na_ziemi w_dole, nie_ma [więcej]_innego.
Deu 4:40  I_przestrzegaj **_przepisów_jego i_**_przykazań_jego, które ja nakazuję_tobie dzisiaj, żeby było_dobrze tobie i_*_synom_twoim po_tobie i_abyś przedłużył dni na_ziemi. którą JHWH Bóg_twój daje ci (po)_wszystkie_dni.
Deu 4:41  Wtedy wydzielił Mojżesz trzy miasta po_drugiej_stronie Jordanu od_wschodu [słońca].
Deu 4:42  Aby_mógł_uciec tam zabójca, który zabił **_bliźniego_swego nieumyślnie, a_[on] nie_mając_nienawiści do_niego przedtem_[od_wczoraj],[przedwczoraj], aby_uciekał do_jednego z_miast tych i_pozostał_żywy.
Deu 4:43  **_Beser na_pustyni, na_ziemi równej dla_Rubenitów, i_**_Ramot w_Gileadzie dla_Gadytów, i_**_Golan w_Baszanie dla_Manassytów.
Deu 4:44  A_takie pouczenie, które_przedłoży Mojżesz [przed] synom Izraela.
Deu 4:45  Takie (są)_świadectw i_przepisy i_prawa, które oznajmił Mojżesz **_synom Izraela po_wyjściu_ich z_Egiptu.
Deu 4:46  Za Jordanem w_dolinie naprzeciw Bet_Peor w_ziemi Sychona, króla Amorytów, który mieszkał w_Cheszbonie, którego pobił Mojżesz i_synowie Izraela po_wyjściu_ich z_Egiptu.
Deu 4:47  I_wzięli_w_posiadanie **_ziemię_jego i_**_ziemię Oga, króla_Baszanu, dwóch królów amoryckich, którzy_[mieszkali] za Jordanem na_wschodzie [słońca].
Deu 4:48  Od_Aroer, które_(leży) nad_brzegiem_potoku Arnon i_aż_do_góry Sion, to_(jest) Hermon.
Deu 4:49  Z_całą_Arabą za Jordanem na_wschodzie i_aż_do morza Araba pod wzgórzem Pisga.
Deu 5:1  I_wołał Mojżesz do_całego_Izraela, i_powiedział do_nich: Słuchaj Izraelu, **_przepisów i_**_praw, które Ja mówię do_[uszu]_was[zych] dziś, *_abyście_nauczyli ich i_przestrzegali wykonywania_ich.
Deu 5:2  JHWH, Bóg_nasz zawarł z_nami przymierze na_Horebie.
Deu 5:3  Nie z_ojcami_naszym zawarł JHWH **_przymierze to, lecz z_nami, nam, tymi tu, (którzy)_dziś wszyscy_[my] żyjemy.
Deu 5:4  Twarzą w_twarz mówił JHWH z_wami na_górze ze_środka ognia.
Deu 5:5  Ja stałem między_JHWH a_[między]_wami w_czasie owym, aby_obwieszczać wam **_słowo JHWH, gdyż baliście_się [przed] ognia, i_nie_wstąpiliście na_górę, mówiąc:
Deu 5:6  Ja_(jestem) JHWH Bóg_twój, który wywiódł_cię z_ziemi egipskiej z_domu niewoli.
Deu 5:7  Nie będzie_dla_ciebie bogów innych poza_mną.
Deu 5:8  Nie_czyń_sobie rzeźby żadnej_podobizny, (tego),_co na_niebie w_górze, i_co na_ziemi, na_dole, i_co w_wodzie pod *_ziemią.
Deu 5:9  Nie_będziesz_oddawał_pokłonu im i_nie będziesz_służył_im, gdyż Ja_(jestem), JHWH, Bóg_twój, Bóg zazdrosny, karzący winę ojców na_synach i_w_trzecim, i_w_czwartym_(pokoleniu), tych,_którzy_nienawidzą_Mnie.
Deu 5:10  I_okazuje łaskę aż_do_tysiącznego_(pokolenia), tych_którzy,_kochają_Mnie i_przestrzegaj [przykazań_Jego] przykazań_Moich.
Deu 5:11  Nie [podnoś]_używaj imienia_JHWH, Boga_twojego na_próżno, gdyż nie pozostawi_bez_kary JHWH (tego), który_[podnosi]_używa **_imienia_Jego na_próżno.
Deu 5:12  Przestrzegaj **_dnia szabatu, aby_święcić_go, jak rozkazał_ci JHWH, Bóg_twój.
Deu 5:13  Sześć dni będziesz_pracował i_będziesz_wykonywał wszelką_pracę_swoją.
Deu 5:14  A_dnia siódmego (jest)_szabat *_JHWH, Boga_twojego, nie będziesz_wykonywał żadnej_pracy ty i_syn_twój_i_córka_twoja, i_sługa_twój_i_służąca_twoja, i_wół_twój, i_osioł_twój, i_żadne_bydlę_twoje, i_cudzoziemiec_twój, który w_bramach_twoich, aby odpoczął sługa_twój i_służąca_twoja tak_jak_ty.
Deu 5:15  I_pamiętaj, że_niewolnikiem byłeś w_ziemi egipskiej, i_wyprowadził_cię JHWH, Bóg_twój stamtąd *_ręką mocną i_*_ramieniem wyciągniętym, dlatego rozkazał_c JHWH, bóg_twój, obchodzić **_dzień szabatu.
Deu 5:16  Czcij **_ojca_twojego i_**_matkę_twoją, jak rozkazał_ci JHWH, Bóg_twój, aby długo_trwały dni_twoje, i_aby było_dobrze ci na ziemi, którą_JHWH, Bóg_twój daje ci.
Deu 5:17  Nie zabijaj.
Deu 5:18  Nie cudzołóż.
Deu 5:19  I_nie kradnij.
Deu 5:20  I_nie_mów przeciw_bliźniemu_twojemu świadectwa fałszywego.
Deu 5:21  I_nie pożądaj żony bliźniego_twojego i_nie pożądaj domu bliźniego_twojego, pola_jego i_sługi_jego i_służącej_jego, wołu_jego, i_osła_jego, i_wszystkiego, co *_bliźniego_twego.
Deu 5:22  **_Słowa te wypowiedział JHWH do_zgromadzenia_waszego na_górze spośród ognia, obłoku i_ciemności, głosem wielkim i_nie dodał_(nic). I_spisał na_dwóch tablicach kamiennych i_dał_je mi.
Deu 5:23  A_[stało_się] kiedy_usłyszeliście **_głos spośród ciemności, a_góra płonęła w_ogniu, i_zbliżyliście_się do_mnie, wszyscy_naczelnicy plemion_waszych i_starsi_wasi.
Deu 5:24  I_powiedzieliście: Oto ukazał_nam JHWH, Bóg_nasz, **_chwałę_swoją i_**_wielkość_swoją. I_głos_jego słyszeliśmy spośród ognia, dzisiaj_[dniu][tym] widzieliśmy, że_może_przemówić Bóg **_(do)_człowieka, a_on_żyje.
Deu 5:25  A_teraz dlaczego mamy_umrzeć? Wszak pochłonie_nas ogień wielki ten, jeżeli_[dodamy][my](będziemy)_słuchać **_głosu JHWH, Boga_naszego nadal to_umrze.
Deu 5:26  Bo któż (z)_wszystkich_[cielesnych], którzy słyszeli głos Boga żywego, przemawiającego spośród_ognia, tak_jak_my i_pozostał_żywy.
Deu 5:27  Zbliż_się ty i_posłuchaj **_(tego) wszystkiego,_co powie JHWH, Bóg_nasz, i_ty powiesz do_nas (to), wszystko_co powie JHWH, Bóg_nasz do_ciebie, a_posłuchamy i_wykonamy.
Deu 5:28  I_wysłuchał JHWH **_głosu słów_waszych, w_mowach_waszych do_mnie, i_powiedział JHWH do_mnie, usłyszałem **_głos słowa ludu tego, którymi mówili do_ciebie, i_było_dobre wszystko,_co mówili.
Deu 5:29  [Któż_dałby]_Oby i_pozostało serce to w_nich, aby_bali_się Mnie, i_aby_przestrzegali **_wszystkich_przykazań_Moich (po)_wszystkie_dni, aby było_dobrze im i_synom_ich na_zawsze.
Deu 5:30  Idź, powiedz im: Wróćcie [do_was] do_namiotów_waszych.
Deu 5:31  A_ty tutaj zostań ze_Mną. I_powiem ci ** wszystkie_przykazania, i_przepisy i_prawa, których będziesz_nauczał_ich, i_będą_pełnili w_ziemi, którą Ja daję im *_w_posiadanie_[ją].
Deu 5:32  I_starajcie_się aby_czynić jak rozkazał JHWH, Bóg_wasz wam. Nie zbaczajcie (w)_prawo ani_(w)_lewo.
Deu 5:33  Przez_całą_drogę, którą rozkazał JHWH, Bóg_wasz [wam]. idźcie,  aby(ście) żyli i_było_dobrze wam, i_przedłużyli_sobie dni w_ziemi, którą posiądziecie.
Deu 6:1  A_takie (są)_przykazania, przepisy i_prawa, które nakazał JHWH, Bóg_wasz, aby_pouczyć was, aby_czynić w_ziemi, (do)_której wy przeprawicie_się, tam, aby_wziąć_w_posiadanie_ją.
Deu 6:2  Abyś bał_się **_JHWH, Boga_twojego, przestrzegając **_wszystkich_przepisów_Jego, i_przykazań_Jego, które Ja rozkazuję_tobie, tobie i_synom_twoim, i_synom_synów_twoich (po)_wszystkie dni życia_twojego, i_abyś przedłużył dni_twoje.
Deu 6:3  *_Słuchaj Izraelu i_przestrzegaj aby_wypełniać,_(to)(przez)_co będzie_dobrze ci i_(przez)_co rozmnożysz_się bardzo, jak mówił JHWH, Bóg ojców_twoich, dla_ciebie ziemia opływająca mlekiem i_miodem.
Deu 6:4  Słuchaj, Izraelu, JHWH_(jest) Bogiem_naszym, JHWH jedyny.
Deu 6:5  I_będziesz_miłował ** JHWH, Boga_twojego z_całego_serca_twojego i_z_całej_duszy_twojej, i_ze_wszystkich_sił_twoich.
Deu 6:6  Niech_pozostaną słowa te, które ja nakazuję_tobie dziś w_sercu_twoim.
Deu 6:7  *_Wpajaj_je synom_twoim, i_mów o_nich w_czasie_pobytu_twojego w_domu_twoim, i_podczas_wędrowania_twojego w_drodze, i_podczas_kładzenia_się_spać_[twojego] i_podczas_wstawania_[twojego].
Deu 6:8  I_przywiążesz_je jako_znak do_ręki_swojej i_będą jako_przepaska między oczyma_twoimi.
Deu 6:9  I_wypiszesz_je na_odrzwiach domu_twojego i_na_bramach_twoich.
Deu 6:10  I_stało_się, że wprowadzi_cię JHWH, Bóg_twój do_ziemi, którą poprzysiągł *_ojcom_twoim, *_Abrahamowi, *_Izaakowi, i_*_Jakubowi dać tobie (z)_miastami wielkimi i_[dobrymi]_pięknymi, których nie_budowałeś.
Deu 6:11  I_domy pełne wszelkich_dóbr, które nie_gromadziłeś, i_studnie wydrążone, których nie_drążyłeś, winnice ogrody_oliwkowe, których nie_sadziłeś, a_będziesz_jadł i_będziesz_syty.
Deu 6:12  Strzeż siebie, abyś_nie_zapomniał **_(o)_JHWH, który wyprowadził_cię z_ziemi egipskiej, z_domu niewoli
Deu 6:13  **_JHWH, Boga_twego będziesz_się_lękał i_Jemu będziesz_służył, i_na_imię_Jego będziesz_przysięgał.
Deu 6:14  Nie pójdziecie za bogami innymi, z_bogów ludów, które naokoło_was.
Deu 6:15  Gdyż Bogiem zazdrosnym (jest)_JHWH, Bóg_twój pośród_ciebie, aby_nie_zapłonął gniew_JHWH, Boga_twego, przeciwko_tobie, i_(nie)_wytępił_cię z_** powierzchni ziemi.
Deu 6:16  Nie próbujcie_doświadczać **_JHWH, Boga_waszego, jak doświadczaliście w_Massa.
Deu 6:17  [Przestrzegając]_pilnie będziecie_przestrzegać **_przykazań JHWH, Boga_waszego, i_świadectwa_Jego, i_przepisy_Jego, które nakazał_ci.
Deu 6:18  I_będziesz_czynił (to,_co)_prawe i_dobre w_oczach JHWH, aby było_dobrze ci, i_wejdziesz i_posiądziesz **_ziemię piękną, którą_poprzysiągł JHWH *_ojcom_twoim.
Deu 6:19  Abyś_wypędził **_wszystkich_nieprzyjaciół_twoich przed_sobą jak mówił JHWH.
Deu 6:20  Gdy_zapyta_cię syn_twój [jutro]_kiedyś mówiąc: Co (to_są_za)_świadectwa i_przepisy, i_prawa, które nakazał JHWH, Bóg_nasz, wam?
Deu 6:21  I_odpowiesz synowi_twojemu: Niewolnikami byliśmy *_faraona w_Egipcie i_wyprowadził_nas JHWH z_Egiptu *_ręką mocną.
Deu 6:22  I_uczynił JHWH znaki i_cuda wielkie, ale_złe przeciw_Egiptowi przeciw_faraonowi, i_przeciw_całemu_domowi_jego, na_oczach_naszych.
Deu 6:23  Lecz_nas wyprowadził stamtąd, aby wprowadzić nas, aby_dać nam **_ziemię, którą poprzysiągł *_ojcom_naszym.
Deu 6:24  I_nakazał_nam JHWH, aby_wypełniać **_wszystkie_przepisy te, aby bać_się **_JHWH, Boga_naszego, aby_było_dobrze nam (po)_wszystkie_dni *_życia_naszego jak_[dnia][tego]_dziś.
Deu 6:25  I_sprawiedliwość będzie_nasza, bo_przestrzegaliśmy wypełniać **_wszystkie_przykazania te przed JHWH, Bogiem_naszym, jak nakazał_nam.
Deu 7:1  Gdy wprowadzi_cię JHWH Bóg_twój do_ziemi, (do)_której_ty idziesz_tam, aby_wziąć_w_posiadanie_ją, i_wypędzi narody_liczne przed_tobą: Chetytów i_Girgaszytów, i_Amorytów, i_Kananejczyków, i_Peryzzytów, i_Chiwwitów, i_Jebusytów: siedem narodów liczniejszych silniejszych od_ciebie.
Deu 7:2  I_da_je JHWH, Bóg_twój przed_tobą, i_pobijesz_je,[kładąc_klątwę] obłożysz_klątwą je nie_zawrzesz z_nimi przymierza i_nie zlitujesz_się_(nad)_nimi.
Deu 7:3  I_nie zawieraj_małżeństw z_nimi, córki_swojej nie_oddasz synowi_jego, ani_córki_jego nie_weźmiesz dla_syna_swojego.
Deu 7:4  Gdyż_odciągnęłaby **_syna_twojego ode_Mnie, i_służyliby bogom innym. I_zapłonąłby gniew_JHWH przeciwko_wam i_wytępiłby_cię szybko.
Deu 7:5  Lecz_jeśli_tak macie_czynić im: ołtarze_ich zburzycie, i_pomniki_ich potłuczecie, i_[aszery]_święte_drzewa_ich wytniecie i_podobizny_rzeźbione_ich spalicie w_ogniu.
Deu 7:6  Bo ludem poświęconym ty_(jesteś)*_JHWH, Bogu_twemu, *_ciebie wybrał JHWH, Bóg_twój abyś_był Jego *_ludem, wyłączną_własnością z_wszystkich ludów, które_(są) na_powierzchni ziemi.
Deu 7:7  Nie_(dlatego), (że)_liczniejsi_(jesteście)_[wy] od_wszystkich_narodów znalazł_upodobanie JHWH w_was, lecz_wybrał *_was, bo_[wy]_(jesteście) najmniejszym ze_wszystkich_narodów.
Deu 7:8  Lecz z_miłości JHWH (ku)_wam i_z_dochowania_(przez)_Niego **_przysięgi, którą poprzysiągł ojcom_waszym. Wyprowadził JHWH was *_ręką mocną i_wybawił_cię z_domu niewoli z_ręki faraona króla_Egiptu.
Deu 7:9  I_wiedz, że_JHWH, Bóg_twój [on]_jest Bogiem, Bogiem wiernym, zachowującym przymierze i_łaskę dla_kochających_Go i_dla_strzegących przykazań_Jego *** do_tysiącznego pokolenia.
Deu 7:10  A_odpłaca *_nienawidzącemu_Go [w_twarz_jego], aby_wytracić_go, nie zwleka *_nienawidzącemu_Go [w_twarz_jego] odpłaca_mu.
Deu 7:11  I_strzeż **_przykazań, i_**_przepisów i_**_praw, które ja polecam_tobie dzisiaj *_wypełniać.
Deu 7:12  I_stanie_się, z_powodu_(tego,_że) będziecie_słuchać ** praw tych, i_przestrzegać i_wypełniać je i_dochowa JHWH, Bóg_twój ci **_przymierza i_**_miłosierdzia, które przysiągł *_ojcom_twoim.
Deu 7:13  I_będzie_miłował_cię, i_pobłogosławi_ci i_rozmnoży_cię. I_pobłogosławi owoc_łona_twojego i_owoc_ziemi_twojej: zboże_twoje i_moszcz_twój, oliwę_twoją, młode_bydła_twojego, i_miot trzód_twoich na ziemi, którą_poprzysiągł ojcom_twoim, dać tobie.
Deu 7:14  Błogosławionym będziesz z_wszystkich_narodów, nie_będzie pośród_ciebie niepłodnego i_niepłodnej, ani_pośród_bydła_twojego.
Deu 7:15  I_oddali JHWH od_ciebie wszelką_chorobę i_wszelkie_zarazy egipskie, złe, które poznałeś, nie ześle na_ciebie, a_da_je na_każdego_nienawidzącego_ciebie.
Deu 7:16  I_pochłoniesz **_wszystkie_narody, które JHWH, Bóg_twój daje ci. Nie_zlituje_się oko_twoje nad_nimi i_nie będziesz_służył **_bogom_ich, bo_sidłem to_(byłoby) dla_ciebie
Deu 7:17  Jeśli powiesz w_sercu_swoim: Liczniejsze narody te_(są) ode_mnie. Jak [pochłonę]_zdołam wypędzić_je?
Deu 7:18  Nie lękaj_się *_ich![Pamiętając], pamiętaj to, co_uczynił JHWH, Bóg_twój, *_faraonowi i_*_wszystkim_Egipcjanom.
Deu 7:19  Te_doświadczenia wielkie, które_widziały oczy_twoje i_znaki, i_cuda, i_rękę mocną, i_ramię wyciągnięte, którymi wyprowadził_cię JHWH, Bóg_twój. Tak_uczyni JHWH, Bóg_twój, *_wszystkim_narodom, których_ty boisz_się [przed_nimi].
Deu 7:20  I_także **_szerszenie ześle JHWH, Bóg_twój, na_nich, aż_wyginą pozostali, i_ci,_którzy_ukryli_się przed_tobą.
Deu 7:21  Nie drżyj przed_nimi, bo_JHWH, Bóg_twój (jest)_pośród_ciebie, Bóg wielki i_straszny.
Deu 7:22  I_usunie_wolno JHWH, Bóg_twój, **_narody te przed_tobą [trochę](po)_trosze, nie pochłoniesz wszystkich_ich szybko, aby_nie_rozmnożyły przeciw_tobie zwierzęta[pola]_dzikie.
Deu 7:23  I_da_je JHWH, Bóg_twój, przed_tobą, i_porazi_je porażeniem wielkim aż zostaną_wyniszczone.
Deu 7:24  I_wyda królów_ich w_rękę_twoją, i_wymażesz **_imię_ich pod niebem, nie_ostoi_się nikt przed_tobą, aż wytępisz ich.
Deu 7:25  Posągi bogów_ich spalisz w_ogniu. Nie_pożądaj srebra i_złota, (które_jest)_na_nich, i_bierz dla_siebie, (ś) aby_nie został_uwikłany przez_nie, bo obrzydliwością (dla)_JHWH, Boga_twego, to_(jest).
Deu 7:26  I_nie_przynoś (tej)_obrzydliwości do_domu_twego, bo_będziesz (obłożone)_klątwą, jak_ono.[Gardząc] wzgardzisz i_[brzydząc] będziesz_brzydził_się_tego bo_(obłożone)_klątwą to_(jest).
Deu 8:1  Wszystkie_przykazania, które ja nakazuję_tobie dzisiaj przestrzegajcie aby_spełniać,  aby(ście) żyli i_rozmnażali_się, i_weszli, i_wzięli_w_posiadanie **_ziemię, którą_przysiągł JHWH *_ojcom_waszym.
Deu 8:2  *_Pamiętaj **_całą_drogę, którą prowadził_cię JHWH, Bóg_twój, te czterdzieści lat na_pustyni, aby ukorzyć_cię, aby_doświadczyć_cię, aby_poznać to_co w_sercu_twoim, czy_będziesz_przestrzegał nakazu_Jego, *** czy_nie.
Deu 8:3  I_upokarzał_cię i_morzył_głodem_cię, ale_karmił_cię **_manną, której nie_znałeś i_nie znali ojcowie_twoi, aby dać_poznać_ci, bo nie **_chlebem samym żyje człowiek, lecz **_wszystkim_co_wychodzi (z)_ust_JHWH będzie_żyć człowiek
Deu 8:4  Odzienie_twoje nie zniszczyło_się na_tobie, ani_noga_twoja, nie opuchła (przez)_te czterdzieści lat.
Deu 8:5  I_poznaj w_sercu_twoim, że jak wychowuje człowiek**_syna_swego, (tak)_JHWH, Bóg_twój, wychowuje_ciebie.
Deu 8:6  *_Przestrzegaj **_przykazań JHWH, Boga_twojego, aby_chodzić po_drogach_Jego i_bać_się Go.
Deu 8:7  Albowiem JHWH, Bóg_twój, wprowadzi_cię do_ziemi pięknej, ziemi potoków wody, źródeł i_głębin tryskających w_dolinach i_w_górach.
Deu 8:8  (Do)_ziemi pszenicy i_jęczmienia, i_winorośli i_drzewa_figowego i_granatowego, (do)_ziemi_drzewa_oliwnego, oliwy i_miodu.
Deu 8:9  (Do)_ziemi, (w)_której nie bez_ograniczeń będziesz_jadł_w_niej chleb, nie_zabraknie_ci niczego w_niej, (do)_ziemi, której kamienie_[jej](są_z)_żelaza, z_gór_jej będziesz_wydobywać miedź.
Deu 8:10  I_będziesz_jadł i_będziesz_syty, i_będziesz_błogosławił **_JHWH, Boga_twojego, za_ziemię piękną, którą dał_ci.
Deu 8:11  Strzeż siebie, abyś_nie_zapomniał **_JHWH, Boga_twojego, nie przestrzegając przykazań_Jego, i_praw_Jego i_przepisów_Jego, które ja nakazuję_ci dzisiaj.
Deu 8:12  A_gdy_się_najesz i_nasycisz, i_domy piękne zbudujesz i_zamieszkasz,
Deu 8:13  i_(gdy)_bydło_twoje i_owce_twoje rozmnoży_się i_(gdy)_srebro i_złoto pomnoży_się_u_ciebie i_wszystko, co_masz pomnoży_się,
Deu 8:14  (niech_nie)_unosi_się serce_twoje, i_(nie)_zapominaj **_JHWH, Boga_twojego, który_wyprowadził_cię z_ziemi egipskiej, z_domu niewoli.
Deu 8:15  On_prowadził_cię przez_pustynię wielką i_straszną, (gdzie)_węże jadowite i_skorpiony, i_(przez)_pustkowie, które bez_wody, wyciągał ci wodę ze_skały najtwardszej.
Deu 8:16  Karmił_cię manną na_pustyni, której nie_znali ojcowie_twoi, aby upokorzyć_cię, i_aby doświadczyć_cię, aby_dać_dobro_ci w_przyszłości_twojej
Deu 8:17  Obyś_(nie)_mówił w_sercu_swoim: Moc_moja i_siła ręki_mojej zdobyła mi **_bogactwo to.
Deu 8:18  *_Pamiętaj **_JHWH, Boga_twojego, że on daje ci siłę, aby_zdobyć bogactwo, aby umocnić**_przymierze_swoje, które_poprzysiągł ojcom_twoim, jak_dzisiaj_[dnia][tego].
Deu 8:19  I_stanie_się jeśli_[zapominając] zapomnisz **_JHWH, Boga_twojego, i_pójdziesz za bogami innymi i_będziesz_służyć_im i_będziesz_oddawał_pokłon im, (to)_oświadczam wam dzisiaj, że [ginąc] zginiecie.
Deu 8:20  Jak_narody, które JHWH wyniszczy przed_wami, tak zginiecie za_to,_że nie będziecie_słuchać *_głosu JHWH, Boga_waszego.
